index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
8,667,1073,Frontal pole layer 2/3,FRP2/3,,1,3,8690,184,7,1,8,/997/8/567/688/695/315/184/667/,268F45,0,,f,9,2147483647,734881840,Frontal pole layer 2/3,0.149019608,0.560784314,0.270588235
14,219,1017,Somatomotor areas Layer 2/3,MO2/3,,1,3,8690,500,7,1,14,/997/8/567/688/695/315/500/219/,1F9D5A,0,,f,15,1075749695,734881840,Somatomotor areas Layer 2/3,0.121568627,0.615686275,0.352941176
20,943,966,Primary motor area Layer 2/3,MOp2/3,,1,3,8690,985,8,1,20,/997/8/567/688/695/315/500/985/943/,1F9D5A,0,,f,21,2147483647,734881840,Primary motor area Layer 2/3,0.121568627,0.615686275,0.352941176
26,962,1110,Secondary motor area layer 2/3,MOs2/3,,1,3,8690,993,8,1,26,/997/8/567/688/695/315/500/993/962/,1F9D5A,0,,f,27,2147483647,734881840,Secondary motor area layer 2/3,0.121568627,0.615686275,0.352941176
32,12994,0,Somatosensory areas layer 2/3,SS2/3,,1,3,8690,453,7,1,32,/997/8/567/688/695/315/453/12994/,188064,0,,f,33,2147483647,734881840,Somatosensory areas layer 2/3,0.094117647,0.501960784,0.392156863
39,346,1033,Primary somatosensory area layer 2/3,SSp2/3,,1,3,8690,322,8,1,39,/997/8/567/688/695/315/453/322/346/,188064,0,,f,40,401998130,734881840,Primary somatosensory area layer 2/3,0.094117647,0.501960784,0.392156863
46,838,953,Primary somatosensory area nose layer 2/3,SSp-n2/3,,1,3,8690,353,9,1,46,/997/8/567/688/695/315/453/322/353/838/,188064,0,,f,47,2147483647,734881840,Primary somatosensory area nose layer 2/3,0.094117647,0.501960784,0.392156863
53,201,1015,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,,1,3,8690,329,9,1,53,/997/8/567/688/695/315/453/322/329/201/,188064,0,,f,54,1738869888,734881840,Primary somatosensory area barrel field layer 2/3,0.094117647,0.501960784,0.392156863
60,480149210,0,Rostrolateral lateral visual area layer 2/3,VISrll2/3,,1,3,8690,480149202,10,1,60,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,0,,f,61,2147483647,734881840,Rostrolateral lateral visual area layer 2/3,0.094117647,0.501960784,0.392156863
67,113,1004,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,,1,3,8690,337,9,1,67,/997/8/567/688/695/315/453/322/337/113/,188064,0,,f,68,2147483647,734881840,Primary somatosensory area lower limb layer 2/3,0.094117647,0.501960784,0.392156863
74,657,1072,Primary somatosensory area mouth layer 2/3,SSp-m2/3,,1,3,8690,345,9,1,74,/997/8/567/688/695/315/453/322/345/657/,188064,0,,f,75,2147483647,734881840,Primary somatosensory area mouth layer 2/3,0.094117647,0.501960784,0.392156863
81,854,955,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,,1,3,8690,369,9,1,81,/997/8/567/688/695/315/453/322/369/854/,188064,0,,f,82,243505027,734881840,Primary somatosensory area upper limb layer 2/3,0.094117647,0.501960784,0.392156863
88,670,649,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,,1,3,8690,361,9,1,88,/997/8/567/688/695/315/453/322/361/670/,188064,0,,f,89,1192883470,734881840,Primary somatosensory area trunk layer 2/3,0.094117647,0.501960784,0.392156863
95,182305697,0,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,,1,3,8690,182305689,9,1,95,/997/8/567/688/695/315/453/322/182305689/182305697/,188064,0,,f,96,909836824,734881840,Primary somatosensory area unassigned layer 2/3,0.094117647,0.501960784,0.392156863
102,806,949,Supplemental somatosensory area layer 2/3,SSs2/3,,1,3,8690,378,8,1,102,/997/8/567/688/695/315/453/378/806/,188064,0,,f,103,2147483647,734881840,Supplemental somatosensory area layer 2/3,0.094117647,0.501960784,0.392156863
109,180,729,Gustatory areas layer 2/3,GU2/3,,1,3,8690,1057,7,1,109,/997/8/567/688/695/315/1057/180/,009C75,0,,f,110,2147483647,734881840,Gustatory areas layer 2/3,0,0.611764706,0.458823529
116,1106,1128,Visceral area layer 2/3,VISC2/3,,1,3,8690,677,7,1,116,/997/8/567/688/695/315/677/1106/,11AD83,0,,f,117,1410936982,734881840,Visceral area layer 2/3,0.066666667,0.678431373,0.51372549
124,600,923,Dorsal auditory area layer 2/3,AUDd2/3,,1,3,8690,1011,8,1,124,/997/8/567/688/695/315/247/1011/600/,19399,0,,f,125,2147483647,734881840,Dorsal auditory area layer 2/3,0.003921569,0.576470588,0.6
131,480149238,0,Laterolateral anterior visual area layer 2/3,VISlla2/3,,1,3,8690,480149230,9,1,131,/997/8/567/688/695/315/247/1011/480149230/480149238/,19399,0,,f,132,2147483647,734881840,Laterolateral anterior visual area layer 2/3,0.003921569,0.576470588,0.6
138,251,1021,Primary auditory area layer 2/3,AUDp2/3,,1,3,8690,1002,8,1,138,/997/8/567/688/695/315/247/1002/251/,19399,0,,f,139,1321647110,734881840,Primary auditory area layer 2/3,0.003921569,0.576470588,0.6
145,643,1070,Posterior auditory area layer 2/3,AUDpo2/3,,1,3,8690,1027,8,1,145,/997/8/567/688/695/315/247/1027/643/,19399,0,,f,146,2147483647,734881840,Posterior auditory area layer 2/3,0.003921569,0.576470588,0.6
152,755,1084,Ventral auditory area layer 2/3,AUDv2/3,,1,3,8690,1018,8,1,152,/997/8/567/688/695/315/247/1018/755/,19399,0,,f,153,2147483647,734881840,Ventral auditory area layer 2/3,0.003921569,0.576470588,0.6
159,561,1060,Visual areas layer 2/3,VIS2/3,,1,3,8690,669,7,1,159,/997/8/567/688/695/315/669/561/,08858C,0,,f,160,2147483647,734881840,Visual areas layer 2/3,0.031372549,0.521568627,0.549019608
166,905,1103,Anterolateral visual area layer 2/3,VISal2/3,,1,3,8690,402,8,1,166,/997/8/567/688/695/315/669/402/905/,08858C,0,,f,167,125014447,734881840,Anterolateral visual area layer 2/3,0.031372549,0.521568627,0.549019608
173,1066,1123,Anteromedial visual area layer 2/3,VISam2/3,,1,3,8690,394,8,1,173,/997/8/567/688/695/315/669/394/1066/,08858C,0,,f,174,1625313305,734881840,Anteromedial visual area layer 2/3,0.031372549,0.521568627,0.549019608
180,973,687,Lateral visual area layer 2/3,VISl2/3,,1,3,8690,409,8,1,180,/997/8/567/688/695/315/669/409/973/,08858C,0,,f,181,2147483647,734881840,Lateral visual area layer 2/3,0.031372549,0.521568627,0.549019608
187,821,951,Primary visual area layer 2/3,VISp2/3,,1,3,8690,385,8,1,187,/997/8/567/688/695/315/669/385/821/,08858C,0,,f,188,2147483647,734881840,Primary visual area layer 2/3,0.031372549,0.521568627,0.549019608
194,269,882,Posterolateral visual area layer 2/3,VISpl2/3,,1,3,8690,425,8,1,194,/997/8/567/688/695/315/669/425/269/,08858C,0,,f,195,1134773183,734881840,Posterolateral visual area layer 2/3,0.031372549,0.521568627,0.549019608
201,41,995,posteromedial visual area layer 2/3,VISpm2/3,,1,3,8690,533,8,1,201,/997/8/567/688/695/315/669/533/41/,08858C,0,,f,202,736869347,734881840,posteromedial visual area layer 2/3,0.031372549,0.521568627,0.549019608
208,312782582,0,Laterointermediate area layer 2/3,VISli2/3,,1,3,8690,312782574,8,1,208,/997/8/567/688/695/315/669/312782574/312782582/,08858C,0,,f,209,2147483647,734881840,Laterointermediate area layer 2/3,0.031372549,0.521568627,0.549019608
215,312782636,0,Postrhinal area layer 2/3,VISpor2/3,,1,3,8690,312782628,8,1,215,/997/8/567/688/695/315/669/312782628/312782636/,08858C,0,,f,216,2147483647,734881840,Postrhinal area layer 2/3,0.031372549,0.521568627,0.549019608
